ID	TCGA-AH-6643-11A-01R-1830-07	TCGA-AG-3731-11A-01R-1736-07	TCGA-AG-3725-11A-01R-1736-07	TCGA-AG-3742-11A-01R-1660-07	TCGA-AF-2691-11A-01R-A32Z-07	TCGA-AF-5654-11A-11R-1660-07	TCGA-AF-2689-11A-01R-A32Z-07	TCGA-AF-2692-11A-01R-A32Z-07	TCGA-AG-3732-11A-01R-1660-07	TCGA-AF-3400-11A-01R-A32Z-07	TCGA-DC-4745-01A-01R-A32Z-07	TCGA-DY-A1DC-01A-31R-A155-07	TCGA-AG-3732-01A-11R-1660-07	TCGA-AF-3911-01A-01R-1736-07	TCGA-AH-6549-01A-11R-1830-07	TCGA-AG-3887-01A-01R-1119-07	TCGA-DY-A1DD-01A-21R-A155-07	TCGA-EI-6881-01A-11R-A32Z-07	TCGA-AF-5654-01A-01R-1660-07	TCGA-AH-6544-01A-11R-1830-07	TCGA-DY-A1H8-01A-21R-A155-07	TCGA-EI-6514-01A-11R-1736-07	TCGA-AG-4001-01A-02R-1119-07	TCGA-EI-6917-01A-11R-1928-07	TCGA-CI-6624-01C-11R-1830-07	TCGA-AG-3608-01A-01R-0826-07	TCGA-DC-6160-01A-11R-1660-07	TCGA-EI-7002-01A-11R-1928-07	TCGA-AG-3999-01A-01R-1119-07	TCGA-AG-A002-01A-01R-A002-07	TCGA-BM-6198-01A-11R-1736-07	TCGA-F5-6864-01A-11R-1928-07	TCGA-AG-3583-01A-01R-0821-07	TCGA-EI-6512-01A-11R-1736-07	TCGA-AH-6897-01A-11R-1928-07	TCGA-F5-6813-01A-11R-1830-07	TCGA-AG-3591-01A-01R-1736-07	TCGA-AG-3605-01A-01R-0826-07	TCGA-AG-A023-01A-01R-A00A-07	TCGA-DY-A1DF-01A-11R-A155-07	TCGA-AG-A02X-01A-01R-A00A-07	TCGA-AF-2692-01A-01R-0821-07	TCGA-AG-3599-01A-02R-0826-07	TCGA-AG-A016-01A-01R-A002-07	TCGA-AF-A56L-01A-31R-A39D-07	TCGA-AG-3578-01A-01R-0821-07	TCGA-AG-3574-01A-01R-0821-07	TCGA-F5-6465-01A-11R-1736-07	TCGA-AG-3892-01A-01R-1119-07	TCGA-G5-6572-02A-12R-1830-07	TCGA-AG-3587-01A-01R-0821-07	TCGA-AG-A00Y-01A-02R-A002-07	TCGA-AG-3896-01A-01R-1119-07	TCGA-AG-3594-01A-02R-0821-07	TCGA-EI-7004-01A-11R-1928-07	TCGA-F5-6863-01A-11R-1928-07	TCGA-F5-6814-01A-31R-1928-07	TCGA-CI-6622-01A-11R-1830-07	TCGA-F5-6861-01A-11R-1928-07	TCGA-AG-A036-01A-12R-A083-07	TCGA-AG-3898-01A-01R-1119-07	TCGA-AG-A011-01A-01R-A002-07	TCGA-AG-3575-01A-01R-0821-07	TCGA-DC-6683-01A-11R-1830-07	TCGA-EI-6882-01A-11R-1928-07	TCGA-DT-5265-01A-21R-1830-07	TCGA-DY-A0XA-01A-11R-A155-07	TCGA-AG-3600-01A-01R-0826-07	TCGA-DC-5869-01A-01R-1660-07	TCGA-CL-5918-01A-11R-1660-07	TCGA-DY-A1DG-01A-11R-A32Y-07	TCGA-CL-4957-01A-01R-1736-07	TCGA-AG-3586-01A-02R-0821-07	TCGA-DC-4749-01A-01R-1736-07	TCGA-G5-6235-01A-11R-1736-07	TCGA-AG-3612-01A-01R-0826-07	TCGA-AG-3725-01A-11R-1736-07	TCGA-EI-6509-01A-11R-1736-07	TCGA-AH-6547-01A-11R-1830-07	TCGA-AF-6672-01A-11R-1830-07	TCGA-AG-A01N-01A-01R-A00A-07	TCGA-AF-2691-01A-01R-0821-07	TCGA-AG-3883-01A-02R-0905-07	TCGA-DC-5337-01A-01R-1660-07	TCGA-AG-3592-01A-02R-1736-07	TCGA-AF-2690-01A-02R-1736-07	TCGA-F5-6811-01A-11R-1830-07	TCGA-AF-3400-01A-01R-0821-07	TCGA-AG-A008-01A-01R-A002-07	TCGA-AG-3894-01A-01R-1119-07	TCGA-AG-3885-01A-01R-0905-07	TCGA-AG-3882-01A-01R-0905-07	TCGA-AG-3726-01A-02R-0905-07	TCGA-AF-4110-01A-02R-1736-07	TCGA-AH-6644-01A-21R-1830-07	TCGA-AG-A02N-01A-11R-A083-07	TCGA-AG-3609-01A-02R-0826-07	TCGA-AG-A01J-01A-01R-A00A-07	TCGA-AG-4022-01A-01R-1736-07	TCGA-AG-4021-01A-01R-1736-07	TCGA-G5-6233-01A-11R-1736-07	TCGA-AF-6655-01A-11R-1830-07	TCGA-AG-4015-01A-01R-1119-07	TCGA-AG-3731-01A-11R-1736-07	TCGA-AG-3611-01A-01R-0826-07	TCGA-EI-6885-01A-11R-1928-07	TCGA-AG-4007-01A-01R-1119-07	TCGA-AG-3581-01A-01R-0821-07	TCGA-AG-3901-01A-01R-1119-07	TCGA-DC-6158-01A-11R-1660-07	TCGA-F5-6571-01A-12R-1830-07	TCGA-AG-3582-01A-01R-0821-07	TCGA-EI-6508-01A-11R-1736-07	TCGA-CL-5917-01A-11R-1660-07	TCGA-AF-2687-01A-02R-1736-07	TCGA-EF-5831-01A-01R-1660-07	TCGA-DC-6157-01A-11R-1660-07	TCGA-AG-A00C-01A-01R-A002-07	TCGA-AF-A56N-01A-12R-A39D-07	TCGA-DY-A1DE-01A-11R-A155-07	TCGA-AG-A01L-01A-01R-A002-07	TCGA-AF-2693-01A-02R-1736-07	TCGA-DC-6681-01A-11R-A32Z-07	TCGA-AH-6903-01A-11R-1928-07	TCGA-AG-A025-01A-01R-A00A-07	TCGA-AG-3902-01A-01R-A32Z-07	TCGA-AG-3893-01A-01R-1119-07	TCGA-F5-6812-01A-11R-1830-07	TCGA-AG-3881-01A-01R-0905-07	TCGA-AG-A014-01A-02R-A002-07	TCGA-AG-3580-01A-01R-0821-07	TCGA-CI-6623-01B-11R-1830-07	TCGA-EI-6884-01A-11R-1928-07	TCGA-AF-6136-01A-11R-1830-07	TCGA-AF-3913-01A-02R-1119-07	TCGA-AG-A02G-01A-01R-A00A-07	TCGA-DC-6154-01A-31R-1928-07	TCGA-AG-3584-01A-01R-0821-07	TCGA-AG-A032-01A-01R-A00A-07	TCGA-G5-6641-01A-11R-A32Z-07	TCGA-AG-3890-01A-01R-1119-07	TCGA-AG-3742-01A-11R-1660-07	TCGA-AG-A026-01A-01R-A00A-07	TCGA-F5-6702-01A-11R-1830-07	TCGA-G5-6572-01A-11R-1830-07	TCGA-F5-6464-01A-11R-1736-07	TCGA-EF-5830-01A-01R-1660-07	TCGA-DC-6682-01A-11R-1830-07	TCGA-CI-6619-01B-11R-1830-07	TCGA-AG-3727-01A-01R-0905-07	TCGA-AG-A01Y-01A-41R-A083-07	TCGA-AG-3598-01A-01R-0826-07	TCGA-F5-6810-01A-11R-1830-07	TCGA-AG-A01W-01A-21R-A083-07	TCGA-AG-3878-01A-02R-0905-07	TCGA-EI-6507-01A-11R-1736-07	TCGA-CI-6621-01A-11R-1830-07	TCGA-AG-A020-01A-21R-A083-07	TCGA-AG-4008-01A-01R-1119-07	TCGA-AG-3602-01A-02R-0826-07	TCGA-AG-3909-01A-01R-1119-07	TCGA-DC-6156-01A-11R-1660-07	TCGA-EI-6510-01A-11R-1736-07	TCGA-AG-3728-01A-01R-0905-07	TCGA-AG-A015-01A-01R-A002-07	TCGA-CI-6620-01A-11R-1830-07	TCGA-AH-6643-01A-11R-1830-07	TCGA-EI-6513-01A-21R-1736-07	TCGA-EI-6506-01A-11R-1736-07	TCGA-AG-4005-01A-01R-1119-07	TCGA-AF-A56K-01A-32R-A39D-07	TCGA-AG-A00H-01A-01R-A00A-07	TCGA-EI-6511-01A-11R-1736-07	TCGA-EI-6883-01A-31R-1928-07	TCGA-DC-6155-01A-11R-1660-07	TCGA-AG-3593-01A-01R-0821-07	TCGA-AG-3601-01A-01R-0826-07
DLGAP1-AS1	2.150052	1.964978	5.567103	3.674616	1.631813482	1.112628129	2.066669	1.876861	2.331483	1.522671	1.530706	2.143813	2.161694	3.489704	2.627237	3.341363	3.078793	2.209762	6.313644	2.081081	15.08367	2.117006	4.392771288	2.531015	4.09135676	3.041030854	1.812707	5.552364	3.172334	6.489044	1.798506	3.678867	3.800153	1.531406	1.821204646	1.969156	6.483819	4.574473	2.845454072	5.147634	5.321334	2.873968	6.429551	1.65270596	2.051035	8.411654	5.905417	2.850824	5.113483	2.010332	4.560892	4.002098953	1.795727	4.112583	2.541776	1.863064	1.324815	0.8869688	3.486279	3.782135	2.547946	3.972673	4.528244	2.936473	2.982441	8.423529	4.3161	3.445165	2.569245	3.030757	7.991852	1.072392	2.415200001	1.178032	2.225025	1.572167	4.772045	1.380616	3.663355	15.46722	3.015008	4.757519	4.294365	2.473964	3.51988	1.941888	3.953321	5.006824	2.022839	4.254159	2.127301549	5.846145	1.894280549	2.806117	1.503379	4.068203	3.23344	3.137676	2.643365	1.357952	2.743809	3.246422	3.237021	1.50624	4.63761	2.36679	1.406825	2.349041977	3.124556311	3.540762	2.413957	2.530222	11.68645	1.384949	4.300078	1.485888	2.098357	4.077363	5.68448	9.495959129	2.822992	2.59264	2.366649167	3.555953	4.916646447	3.979765	3.740217	5.416732	6.192929	1.64455	6.449779	2.366322	3.026908	4.000545	2.420965	5.328146	1.775865	4.2904	2.440353868	4.301188	6.334646	4.812065	2.182284	1.807788	3.810155	2.195802	3.538942	0.9972527	2.250831	3.812869146	10.12242	5.077979	4.244031	5.334558	2.482781281	4.309253	3.209991	4.52316	2.235848	3.551143	2.812996	1.893332	12.52803	3.276217	2.008386	2.567658	2.921096	4.41496	2.422353	2.239803	3.518256	3.721514228	3.638453	3.883432	4.877307	3.625482	2.316927
AL355488.1	1.061654	0.3492817	0.3252776	0.5939581	0.221253938	1.029486686	0.3064888	0.2049698	0.8389353	0.5494815	0.8752831	1.055608	4.200453	1.24101	1.373254	0.9790092	2.548535	1.794754	1.263479	0.741231	7.508074	0.6798317	1.140388454	2.021135	0.508350574	1.131126837	0.7832783	1.316655	0.6390204	1.985296	1.245347	2.743138	0.6499912	0.7492579	0.594362136	0.5540617	1.931729	1.521211	1.29448988	6.244537	1.294693	1.838562	1.069559	0.68038059	1.375518	3.065643	0.5282829	0.9593601	0.5601953	0.1956745	1.347464	1.005420491	0.4660034	0.6787797	1.174171	1.681842	2.339901	0.5391026	1.246325	3.147076	1.792289	1.811722	1.026697	0.7739884	1.639066	2.751097	2.01067	1.590367	0.4618139	1.836723	3.285349	1.711103	1.480602345	0.7125739	1.832459	0.8831638	1.248445	0.8157746	1.478719	2.746862	1.14353	1.941885	0.7021549	0.7376099	1.588749	0.5645536	0.6874919	0.7768955	2.622556	0.7197004	0.491005456	0.4507742	0.125762604	0.5902515	0.7086042	3.508785	0.5205067	1.168642	1.720987	1.002978	3.348586	2.172696	1.51258	0.755154	1.636543	0.3641881	0.4755092	0.437802265	0.805041742	0.9746065	1.88855	0.7645145	1.938227	0.8865295	2.629387	1.573581	0.9598435	2.690772	3.034179	5.488614011	1.288325	1.123511	0.702999506	1.262627	1.695662037	1.668037	1.500623	0.6018872	0.1736991	0.9109944	1.992457	0.4056228	1.360493	2.154063	0.2649061	0.8432893	1.055021	0.6588749	1.309317301	1.70188	2.372953	1.255863	0.5372759	0.5767174	0.2623932	0.5180786	0.7008746	1.687253	2.076427	0.252484366	3.932663	0.9156339	2.455669	2.503448	0.26406339	2.1608	1.218931	1.704765	1.43768	1.219076	0.4738544	1.81952	1.503726	0.1313071	1.087817	1.546761	1.259138	1.915432	0.9691182	1.051337	1.956147	1.235369596	0.2364867	2.216405	0.2652902	3.084518	0.1683221
AC105942.1	5.426931	6.461557	6.271409	9.711	4.525648723	4.526893038	5.551146	5.878703	7.95828	5.379929	5.895403	1.087072	3.718993	2.261432	5.478768	5.054667	2.084245	5.610542	3.956175	1.208529	3.465116	3.522764	3.166334918	4.13648	3.936954176	5.369818679	1.359433	4.201233	0.7383027	1.637768	1.530394	2.465502	2.828968	1.237634	7.958109632	1.540847	2.689046	6.583897	1.758441554	2.422658	3.190357	2.918378	3.212906	2.47964793	1.689429	0.6429187	1.106278	4.7193	4.631093	3.646718	3.013466	2.265176601	1.11046	1.959373	3.642983	3.049963	7.462555	3.958913	5.48009	5.477019	1.918033	7.930565	4.512323	4.59895	1.381844	2.805185	2.032678	2.451553	3.215937	2.655571	4.024605	5.551004	0.602845376	3.295302	2.416462	0.8751156	2.136722	0.2692253	3.189735	0.9221399	1.567834	2.083332	1.636479	2.289708	4.067494	4.511875	2.023135	1.794076	1.656177	5.240082	0.276554457	1.336287	1.239606693	3.097866	2.489326	4.149121	2.888594	0.9482934	1.771676	3.396443	4.168954	4.382355	2.702414	5.506554	2.197238	2.666634	2.529471	1.826579499	4.63508882	2.81331	1.487093	2.571675	2.292547	2.352612	5.475724	2.068046	2.331128	5.319491	8.42914	9.600376273	0.7160897	2.965042	4.583840651	6.763439	1.563604549	3.320408	4.274087	3.988325	1.630574	0.1603467	3.009627	2.284634	3.092029	0.5716918	2.144836	3.492465	3.272287	0.8394052	0.574645189	2.733696	2.143515	12.36713	2.185559	5.472695	2.309229	2.960322	6.037527	5.885294	3.016348	0.765743858	1.663306	4.562162	6.057911	0.8412199	3.139884184	1.336289	2.112468	2.78766	3.939376	3.641241	0.6672356	1.185937	4.786311	1.901766	3.007816	2.177998	5.996309	6.57016	1.014716	0.4789501	3.496431	5.088117488	2.744707	2.588533	2.044727	1.765964	1.501094
AL132989.1	1.721564	0.8343116	0.3301429	0.7755313	0.172854639	1.787303275	0.4162889	0.4537091	1.573004	0.533594	0.5413535	1.01343	4.134549	0.8335407	0.9847459	0.3027535	3.366588	0.5172985	0.8637064	0.1930289	1.408113	0.3700126	1.509977376	1.321375	0.978162997	0.639625295	1.351952	1.6735	1.216084	1.786014	0.7468939	2.214006	0.8771188	1.283284	0.56753329	0.7881672	0.9085585	0.3961487	0.904239254	1.482165	1.029541	1.075106	0.4233673	0.990137194	2.458536	3.469401	0.2680923	1.140473	0.3576515	0.3701869	0.9804614	1.29343157	0.5320952	0.8396364	0.9846951	0.9456382	0.9923686	0.844125	0.9599125	1.662123	1.064172	0.6820625	1.077579	0.54709	1.911264	1.13435	2.593445	0.3313264	0.6231863	0.3245698	1.076023	0.6581648	0.882638195	0.668038	0.5756733	0.6473809	1.467512	1.292904	1.517801	3.510322	0.5211399	0.7625622	0.3594004	0.2903117	0.7970941	1.207941	0.6879747	0.3844014	1.258297	0.6948327	0.29153449	1.29128	0.07778286	1.028818	2.060294	1.630608	0.4544865	0.4900291	1.645814	0.9133718	1.527595	2.179119	0.3218977	0.9341098	1.694821	2.188109	0.8714	0.240689903	0.885173212	0.8840832	1.875025	0.9456885	0.9270511	1.518395	2.122682	0.558991	1.176414	0.7053623	1.321674	1.29127868	0.7548779	0.5594001	0.814756372	0.834219	0.742477385	1.989397	0.9281198	0.7357628	0.5729657	0.8451608	1.702834	0.9444648	0.8266882	2.455275	0.2457625	0.9817707	1.375582	1.474788	0.841349727	0.8732639	0.6645948	1.259026	0.5169104	0.6823706	0.5842348	0.5944139	0.53038	0.6780416	2.145833	0.192195631	3.207443	0.696997	0.6279299	0.9853178	1.016216171	1.480911	2.419095	0.8843184	0.7690295	0.09139225	0.6312363	1.258038	1.280426	0.5568828	0.8807611	0.8984242	1.575027	0.7214628	1.168041	0.6884908	2.250065	0.993282195	0.8864518	1.322442	0.276344	1.257852	0.3470182
AL035587.1	1.12626	0.679608	0.3669239	0.536489	0.490025499	0.414558397	0.4712885	0.7634779	0.8614571	0.55989	2.887994	0.7081977	1.469886	1.417802	2.369735	1.248401	0.9475442	0.999879	0.8426727	0.9700674	0.5763645	0.3510943	1.781890646	0.986799	0.715756471	1.359954989	0.7665295	1.328532	1.410332	1.227435	0.7651401	0.8682883	0.6216358	0.7027919	0.797801525	1.046535	1.039635	1.745819	1.165194207	1.880521	0.5748848	1.694416	0.7910433	1.492781338	1.170632	3.18143	0.9327451	1.286895	0.6567346	0.6054477	1.553998	2.269281283	1.439871	1.915047	0.5583023	0.9870178	2.092511	0.352425	0.8546091	2.02907	1.302718	0.5273396	1.011663	1.122537	0.9185718	1.013118	1.413455	2.113373	0.851214	1.223345	1.218186	0.7285993	1.023623356	0.4878022	0.959713	1.220031	1.187386	1.15809	0.7371951	1.026457	0.9785239	1.326551	1.991416	0.3366836	1.211303	0.6420735	1.462754	0.7727243	1.702501	1.007274	1.427540695	1.633678	1.804144736	0.9493903	0.8383818	2.113546	1.669094	0.7577363	1.023507	3.542657	1.332485	0.8236778	3.079848	0.6577279	1.346757	0.8359216	1.65063	2.605266276	0.88968819	1.149578	1.616041	3.940157	1.421149	0.5380621	1.574985	0.8643727	0.8758624	2.454093	1.40178	1.26354652	1.426669	1.351571	0.751073297	0.7309774	1.435124074	1.008086	1.924419	0.948097	1.550468	1.524693	0.8661536	1.118145	1.019609	0.970725	1.330086	1.644631	0.9680914	2.520528	1.886430314	1.362392	2.012518	1.80554	1.227501	0.6594722	0.5144403	0.7037222	0.6308701	2.211599	1.395118	1.597416574	2.590064	1.987143	1.662792	1.414776	1.150477522	0.991379	1.396345	0.9729785	1.969541	1.483867	1.010946	1.64136	0.749164	2.511579	1.097109	1.903775	1.23127	1.445215	0.9506064	3.578304	1.366866	1.565457865	1.685996	1.408988	3.284969	1.361519	1.180514
DNMBP-AS1	1.295255	1.822097	2.716895	1.429169	1.072645909	2.401841798	1.297746	1.00028	0.9588859	1.71669	2.429416	1.220601	3.367918	3.720104	1.03803	0.3483739	0.8665263	2.51563	0.4360788	1.485	0.2042387	2.12331	1.214949352	1.07372	0.947535585	1.478585869	1.333432	1.591627	1.059493	0.9052401	1.058952	0.8861298	0.5947586	2.118298	0.674254992	1.504043	1.012607	0.7619079	1.467840434	2.239647	1.071851	1.305081	0.9743247	1.684589583	1.027607	0.6963118	0.8097855	1.945687	0.8818805	0.4423519	0.604394	1.692773456	0.9621448	0.7660244	0.8821789	1.803189	0.8749651	1.814984	1.412972	1.553072	0.9402614	0.6727192	0.7781341	1.681048	1.452023	0.4918909	1.677324	0.4084846	1.219055	1.260487	0.5874958	1.711392	0.892310942	1.720427	2.093716	1.875631	1.447409	2.286018	1.640952	1.198466	0.71593	2.33156	0.2953976	1.4419	1.152153	0.558466	2.101621	0.7582713	0.8144456	0.556818	0.670928688	0.7525767	0.230152025	2.25858	1.408189	0.4493697	0.4856157	1.61911	3.317115	0.7432094	1.91231	2.017924	1.329481	0.8308276	3.737893	2.005796	1.052842	1.266094831	0.240088077	2.219566	4.138277	1.710012	2.049409	3.119989	0.6162625	1.20112	1.278477	2.174062	1.763161	0.89549292	1.551119	2.327641	1.769455092	2.006697	0.677383478	1.982032	2.538171	2.375751	0.07063961	0.764118	0.6187659	1.484621	3.358522	3.219682	2.787553	1.210402	1.661135	2.220157	1.037280485	1.20736	0.8739877	2.353373	1.438447	1.001887	0.848341	1.090098	0.663953	0.7836954	0.9860675	0.260648869	0.8787515	1.783071	1.168982	1.128006	0.322166379	0.6323436	0.9805303	0.7547923	1.351069	1.622525	1.423061	1.551006	1.348216	1.14428	1.134131	1.271742	0.8889195	0.8571302	2.205551	1.263805	1.2153	0.941995759	1.739874	2.576839	0.1533141	1.157913	2.053587
LINC00623	1.090569	1.124899	1.042456	1.733571	1.031629805	0.496138162	1.493997	0.9927451	1.103756	0.5713221	2.013678	1.601351	2.26468	2.244414	0.7107255	0.4202073	2.582261	1.515747	0.2283396	1.103809	2.460235	2.651835	0.882431928	1.417186	2.269203467	0.577049904	0.7755969	1.733758	3.983365	1.266994	1.150684	1.416222	0.5275394	0.8608828	0.873640731	0.903688	2.35057	0.5498353	0.878528355	2.71125	0.4445633	1.23967	1.410272	0.852042879	2.513472	0.8510871	0.9116429	6.83651	1.389929	1.486072	1.769083	1.988552143	0.4923483	1.514987	0.9475851	2.345	1.477531	1.002894	2.050953	0.5099567	1.403168	0.4327634	4.230488	2.686876	0.7026184	3.203136	3.174709	1.770481	2.375737	2.702923	2.442887	1.76887	1.053550979	2.791916	1.837716	0.4492667	1.079997	3.650253	1.004703	1.561589	0.5579875	2.243807	0.6651073	1.634779	1.594639	1.519386	2.206824	0.3628009	0.6112594	1.326042	0.836247365	0.6843078	0.129550634	1.916216	3.461608	0.5325188	1.766255	0.462493	3.049059	1.546614	1.185153	1.895361	0.6254898	1.000157	2.796659	2.093737	2.757572	2.093480176	1.376007091	2.197562	2.278206	1.866766	1.792509	3.606096	1.349541	1.862046	1.923082	2.496473	4.336758	1.500994784	0.9778852	1.523725	1.609275977	1.404865	1.360290134	2.014921	0.6792251	3.890298	0.1325415	1.120907	0.6965962	1.466538	1.661003	2.493893	1.56909	1.544337	3.945765	1.163521	1.471368621	2.233632	0.7071929	1.285235	1.926857	1.653116	1.801977	1.845977	3.431553	2.752686	0.8934937	0.426813237	1.206926	0.9915832	2.623325	0.5470294	0.725378951	2.06546	1.103864	0.5664883	1.040691	2.765287	0.5256753	4.365241	0.989451	0.7213981	1.792932	0.9052075	1.204763	1.356382	1.339611	0.785709	2.746242	0.975644301	1.230352	1.64746	1.534208	1.047503	0.7513654
AC011468.1	0.5650262	0.4831061	0.4930133	0.5921249	0.270421479	0.686324458	0.634345	0.273293	0.5965762	0.3902859	0.30797	1.130884	1.827077	0.5927401	1.239467	0.4305828	3.124824	1.005475	0.8423194	0.6918156	6.785447	0.8324162	0.881614861	1.178827	0.685645682	0.614040283	0.807566	0.5355201	0.5534535	1.947417	1.019759	1.533333	0.2494916	1.034232	0.264160949	1.403623	0.8993518	1.014141	0.578713123	2.853865	0.6833103	1.199708	0.9031836	0.506950243	1.637425	3.098256	0.4575441	1.13102	0.534093	0.5102885	0.5856623	1.273532622	1.059461	1.289681	1.26041	1.506297	2.899721	1.037261	1.315565	0.4478984	0.7567444	0.8314666	0.9195338	0.8618772	0.7052738	3.137585	1.850274	0.4947808	0.7799523	1.627176	2.328308	0.7913933	0.828503052	0.9817684	1.258806	0.2762158	1.164909	1.103278	1.16235	1.574544	0.7623533	0.1301439	0.2044589	0.3892941	0.8912795	0.3865412	1.141528	0.262418	1.476402	0.2223465	0.082925366	0.5008602	0	0.3964821	1.357143	1.064051	0.6463808	0.7526847	1.16018	0.7274499	1.370396	0.7024835	1.098744	0.8540433	1.124859	1.603584	0.4461568	0.205388717	0.528743465	0.6858342	1.967239	0.1793306	0.5182962	0.7198316	1.46077	1.635448	1.152595	1.12858	1.648365	2.651425556	1.145178	0.6265282	0.96266599	0.7909632	1.013729124	1.055277	0.719996	2.332018	0.1629769	0.4808026	0.4588689	0.554086	1.242919	1.904698	0.1398116	1.396296	1.444714	0.4636527	1.435903534	1.836349	0.7561612	1.039712	1.197263	0.9793052	0.4985471	0.8876581	0.5222203	1.916598	1.109764	0	1.216452	0.1486927	1.178834	0.9609194	0.061940795	1.017133	0.9614524	0.7546183	0.5742087	0.9358567	0.6156057	1.509646	0.9745078	0.1584022	0.417546	0.7950499	1.134953	0.9234724	0.9180393	1.305583	1.889579	0.782400744	0.3025756	0.7431477	2.004415	1.788945	1.06604
AC024592.2	0.7704902	0.4189617	0.2000866	0.2572735	0.153648568	1.603156877	0.432508	0.5176004	0.3177785	0.8746938	0.7699249	1.379588	2.863757	1.57615	1.038459	1.027527	0.6156865	2.076161	0.3988255	1.422564	0.2610405	0.6197456	0.577981771	3.538229	0.440385072	1.628137114	2.600118	1.217091	0.3930778	7.45676	3.892901	3.329274	0.8505394	2.419661	0.625381036	1.12981	1.356781	0.8835316	0.438419032	3.169323	5.990058	3.809233	0.957922	2.064286029	3.561515	4.068417	0.3249603	0.1793373	2.644454	0.1794846	0.9032129	1.109517057	1.160935	2.890385	1.002599	1.879814	5.350954	1.096851	0.7192733	1.866243	3.955709	4.346303	0	1.346683	2.254071	0.4361972	1.793381	0.8032155	0.4632981	2.104786	1.863243	0.7107455	0.427945791	0.8637259	1.029234	0.9416449	2.167657	6.329785	1.717108	3.491229	0.6136367	1.589827	0.2323397	0.2815143	2.132248	0.8418984	1.037753	1.491012	3.69863	0.04211107	0.471166852	0.5691593	0.339416118	0.4344568	0.4206023	3.162391	0	0.4751797	1.526552	2.066619	2.316911	2.606138	0.7413401	0.2102758	0.9586866	1.035939	1.098492	0.272295648	1.673782074	0.9352285	1.20717	5.349349	0.3874822	0.7566412	0.06639865	0.9485908	1.795648	5.087159	0.1807418	2.073871819	1.382672	1.373073	0.334259024	1.986396	0.287991228	0.4692436	1.43181	0.9512893	0.5556031	0.3642444	0.0434535	1.516868	2.347651	3.219589	1.032699	0.0396675	1.590416	0.1505366	1.509330419	6.290524	3.114869	1.673779	1.754363	0.992539	0.2990023	0.9546648	0.9297103	1.109523	0.8827668	0.605707443	0.03455831	0.8448448	0.4871214	1.023707	0.844647207	0.1225884	1.124694	4.353567	0.8389412	0.7976051	0.262332	1.029304	2.567144	0.5400076	2.846904	1.403599	1.204869	3.895502	1.698969	0.9643507	4.069382	1.555910571	1.237809	2.596012	0.8039097	1.219735	0.4374532
AL049840.2	0.9960397	0.6478903	0.4571209	0.6363334	0.319116256	0.861571835	0.3903662	0.6569543	1.183114	0.4899422	0.4738	0.7515773	2.438324	0.6611331	1.484694	0.7452394	1.272125	0.8489001	0.7930491	0.3642802	2.854455	0.7038001	1.010727097	2.365539	1.30421733	0.820032429	1.553011	1.238268	1.463459	5.251187	0.7966868	1.342719	0.5697524	1.550178	0.994836909	0.3795855	0.7753032	0.195027	0.958339039	0.9822634	1.45485	2.137489	0.7237048	0.731178236	2.275568	4.700345	0.3299597	1.694507	0.5135509	0.4672971	0.9251533	1.796007544	0.4002084	1.274525	1.158069	1.112135	1.899919	0.8449907	1.229165	1.579129	1.673569	1.079308	0.5999705	0.6906067	1.610601	1.315886	1.77911	0.339822	0.3579327	0.4327597	1.009018	0.6259469	1.339799516	0.6699412	0.7675644	0.9295725	1.28812	1.39721	1.516803	4.597345	1.069005	1.282669	1.425314	0.1531314	1.014868	0.6968892	0.611533	0.7569751	1.129241	0.7482814	0.279075751	0.8187137	0.702040176	0.4629255	1.438406	3.462889	0.341836	0.6835278	1.776085	1.79864	2.056879	1.787995	1.518697	1.177047	1.390622	2.027714	0.7864943	0.493722877	1.16207355	0.7254016	1.399767	0.9914911	2.701645	1.47081	2.865357	0.5897048	1.215516	1.19369	1.237386	0.927071873	3.165756	0.6167745	0.565669118	0.9354661	1.523030534	2.801424	0.899995	0.6899461	0.6660114	1.386931	1.54427	1.077659	0.9367114	2.518231	0.7057795	0.5370369	1.186564	2.2291	1.000990444	0.9852208	1.772253	1.232992	1.060329	1.107063	0.5592675	0.7315863	0.100427	0.8866698	1.894068	0.512521683	4.26928	0.3574344	0.9145236	1.183825	1.191169139	4.623333	2.052875	1.841894	1.695809	0.4124368	0.3699553	1.370939	1.73208	0.418852	1.365054	1.351476	1.708747	0.7668696	1.147549	0.7218365	3.033055	0.752308408	0.3345787	0.7807285	0.878632	2.304987	0.1138931
