gene	conMean	treatMean	logFC	pValue	fdr
AP003392.6	0.207992109628263	0.446442776965447	1.1019464695683	9.16894149751205e-15	1.26510996638068e-14
CLN5	4.95190300124482	3.34704178701158	-0.565096492224924	5.06918024709141e-40	1.27580290763204e-39
ELF1	7.32147669032931	12.509572828342	0.772825961390049	8.93748397574011e-38	2.08006093802643e-37
AC120498.2	0.126009997361011	0.553322335533384	2.13458196253315	1.49927700506064e-15	2.09765557187876e-15
TSFM	4.93707306067537	4.80498171632844	-0.0391250534442995	0.00301127901635473	0.00327634455885637
AP001160.3	1.11305491544439	1.49953381182987	0.429989279260935	4.82092804607016e-08	5.84767858814875e-08
AC009495.3	0.301396340821237	0.558822407232906	0.890727968351235	6.90998985094713e-21	1.06699292591307e-20
FAHD1	3.3624188211996	6.44456280971456	0.938583054320862	1.47241150710569e-48	6.25685568907463e-48
KANSL2	5.32695149207001	4.92356039683851	-0.113608187939792	6.40333990326801e-08	7.75057444740068e-08
ZFPM2	0.314486460766627	1.03988137401267	1.72534914738748	2.48073560398568e-36	5.52116745438544e-36
AC005899.8	0.442479692761555	0.320714466539151	-0.464321814207731	4.4237702803265e-08	5.37102757387764e-08
RAB11B	26.7313300805312	27.5831461810816	0.0452553984446187	0.604184435008411	0.609034334688622
SNURF	2.15344741293955	0.27678029268236	-2.95983496454693	5.88758626775009e-53	6.84015652574279e-52
AC009093.3	0.0523077857445399	0.426651857456934	3.02796172360202	5.0267163519728e-25	8.43306753614714e-25
USP38	1.63316368143526	3.26753768008865	1.0005344826246	7.76026005472784e-53	8.47275703823401e-52
MIR29B2CHG	2.14239162457449	0.531862263445615	-2.01009764176655	1.47157543857951e-40	3.79366217283174e-40
MBTD1	2.89205504729626	2.28285185764554	-0.34125777176645	2.62789252539465e-26	4.52894940660967e-26
COPZ1	30.985572597641	23.5799804477261	-0.394034106776843	5.75619512106023e-28	1.02830823820023e-27
FAM214B	2.38214871821284	5.45720099486749	1.19589769690479	1.1517680035771e-47	4.51134330409907e-47
AC093227.1	1.17305622632487	1.33944516794041	0.191363358114762	0.0052860216478347	0.00571818925639618
KCNK5	5.25438410079246	10.3974051690774	0.984629954845638	4.43903914430954e-22	7.02189561630212e-22
APOA5	0.833625997014439	0.0339083523002797	-4.61968768275849	1.6473752753013e-45	5.46251814517128e-45
SARS1	34.7466301687738	21.1111162428002	-0.718870205085911	3.34149648048479e-42	9.2204221433059e-42
CTAGE8	1.22749326104186	0.0829159116587057	-3.88792231079239	2.24414826623641e-42	6.24462627264724e-42
